,Description,ASIN,Product Description,Manufacturer
117,"Lavie Malnov tote is a stylish offering for ladies. It is durable, light weight and super spacious. Made from vegan leather, this large hand bag comes in Herringbone, Woven and Croco texture pattern at the front.
Woven Texture- 45 cm in length x 12 cm in width x 35 cm in height
Malnov hand bag has a top zip closure for safety and comfort. The interior has 2 slip pockets along with 1 zip pocket providing plenty of storage space for keeping phone, portable charger, keys, hairbrush, wallet, sunglasses, sanitizer and a pair of clothes.
This latest tote is perfect for women to carry for a weekend getaway or even a day at the mall for shopping. It can be paired with formal pants & blazer as well as with a basic crop top and jeans. This spacious and sturdy bag makes for a perfect gift for all your occasions.
The bag has a well stitched inner lining and high quality zippers for easy accessibility and storage.",07MXNWTB2,This trendy Red tote from Lavie is an absolute necessity. It has a woven pattern for a twigged Indian appeal. Fuse it with your favourite denims and heels.,Bagzone Lifestyle Pvt Ltd
118,"Material: Water Resistant Strong Polyester
Compartments: 2 with padding
Laptop Size: 15.6 inch and below
Dimensions: LxWxH - 11 x 6 x 18 inches
Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders / Padded Top Handle / Rain Cover",0BPTV3795,"About The Item
High Quality large and spacious laptop backpack with 2 compartments and 2 front easy-access pockets. One compartment is for carrying laptop inside with padding for safety and space for laptop accessories like charger, etc. Other compartment has organiser for pens, visiting cards, etc along with space for carrying papers, files, etc. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort. It comes with a full sized rain cover.
Adjustable
Adjustable Padded Shoulder Straps
Compartment
2 Large compartment with padding
Material
Water Resistant Strong Polyester",ADISA
119,"Outer Material: Polyester, Color: Navy;Water Resistance: Water resistant<br>
Capacity: 24 liters; Weight: 410 grams; Dimensions: 32 cms x 16 cms x 46 cms (LxWxH)<br>
Number of compartments: 2; Laptop Compatibility: Yes<br>
Warranty type: Manufacturer; 2 year manufacturer warranty<br>
Age Range Description: Adult; Strap Type: Padded Strap<br>",01FPNYO0S,,Brand Concepts Ltd
120,"Adjustable Strap
Zip Closure
Number of Compartments : 2",0BBPPM33V,Skybags Brat 22L Red Polyester Casual backpack,"VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India"
121,"The Eume Virgo Bag has enough space with 3 large compartments, 2 easy-access pockets in Front, and 2 side pockets for a water bottle.
The backpack comes with a dedicated tech-safe compartment that can store laptops up to 15.6 inches and enough space to carry for a day's trip.
It's water-resistant, good quality zipper, Light Weight and it has padded adjustable shoulder straps for maximum comfort to make your travel journey happier.
Dimensions of Backpack: 12 x 8 x 17.75 inches; Bag Weight: 685 grams; Capacity: 29 liters; Fabric: Polyester
The Eume Virgo Backpack comes with a 1-year warranty against manufacturing defects.",08R58K6QX,,"EUME, B-1 Nandkishore Industrial Estate off, Mahakali Caves Road, Andheri East, Mumbai-400093"
122,"Beautiful colors and carefully crafted to be functional - It has beautiful print and ample space to keep your phone, card, cash, cosmetics and other essentials you need to carry on your day out, it will give you maximum storage without compromising your style statement.
It is featured with adjustable strip which provides comfort & convenience while walking or travelling and top zip closure for easy opening & closing of the bag.
This pretty sling bag has single large compartment storage space for carrying all your daily essentials. The compartment is also featured with zippered pocket inside to keep your card and cash separate and the bag manufactured using high grade faux leather and Pure Indian Cotton Canvas material.
This cute trendy cross body bag is featured with wide bottom base or footed bottom with gold metal logo and fittings you can complement your contemporary look with this stylish sling/cross body bag. It is perfect handbag to carry at work or for casual and party look.
Handcrafted/Handprinted- Each products are unique.",09TDNZ88Z,"Saccimucci Girls Sling Bag
Daypack handmade with 100% vegan Leather and coated canvas duck fabric
The brand is an initiative of a NIFT, New Delhi graduate, who has a decade-long experience in art, design, and fashion. Through its collaboration with fine craftsmanship, the brand holds a vision of creating outstanding products to meet global quality standards with unique artistic touch imparted to each of its creations and be accessible to the masses.
Handcrafted in India
Each product is thoughtful and carefully crafted",We Make Memories
123,"Ideal for a working professional travelling to work by bus, train, ola/uber/cab etc. Laptop compatibility & professional looking backpack",09ZV9SLBJ,"Ideal for a working professional travelling to work by bus, train, ola/uber/cab etc. Laptop compatibility & professional looking backpack","VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India"
124,"Adjustable Shoulder Handles / Two Bottle holders / Padded Top Handle / Reflector Logo
NOT INCLUDED : Raincover, Headphones & Cable (Images only for display)
Laptop Size : 15.6 inches and below (Bigger than 15.6 inches not recommended)
Compartments : 2 with full padding; Front Easy Access Pocket
Dimensions : LxWxH- 12 x 7 x 18 inches",07G3F1G7T,No Product Details,ADISA
125,"SPECIAL FEATURES : Back Padding, Chest Strap, Earphone Cord Support, Unique Design, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Padded Shoulder Strap , Breathable Mesh etc.<br>; Closure Type: Zipper; Age Range Description: Adult; Color Name: Navy Blue<br>; Closure Type: Zipper; Age Range Description: Adult<br><br> <br>
Compartment Description: Up To 17 Inches<br><br> <br>
Pattern Name: Solid <br>",08PSX1LN9,"This Rucksack backpack ensures complete safety to your 17.3 inch laptop with high quality build and a wide range of built-in features, With a Dual Side Pocket In the inside of the bag, featuring protective padding, you can rest assured that the laptop inside it will be well cushioned from any accidents caused when you bump into any surface. As it is made of nylon, can withstand abrasions and is long lasting. Chest Strap, Hip Belt, Straight Shaped Straps structure which fits on your shoulders very comfortably makes you lift heavy objects easily. A Front Pocket with an Organizer helps you store your small essentials. It also features Reflector Logo, Rain cover and Reflector patch which is highly useful for motorists, cyclists, walking at night. It also features an Earphone Cord Support which very useful for long travelers. The inner material is made of polyester. This backpack is also water-resistant.",AB Amazing Bags
126,2 Main Compartments -Laptop Compatible -Side Fabric Pocket - Shouilder Strap Reinforcement,09ZV86P4S,2 Main Compartments -Laptop Compatible -Side Fabric Pocket - Shouilder Strap Reinforcement,"VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India"
127,"Fit Type: Western
MATERIAL: High Density Premium Nylon, Water Resistance. Dimension: L x W x H (46 x 30 x 14 cm). Capacity: 25 Litres. No. of compartment: 1
MAIN COMPARTMENT: A separate padded Laptop (size upto 15.6 inch) and tablet sleeves. Two Zippered pockets for small items. 180 degree opening creates enough space for carrying books or one day cloth. Small water bottle elastic pocket also attached. FRONT STASH POCKET, ANTI THEFT POCKET and USB CHARGING PORT",082PKX18C,"Business Casual Charging Pack. USB CHARGING, GUARD AGAINST THEFT, WATER REPELLENT FABRIC. For Business travel. Structure: Laptop / Ipad Pocket / Phone / Document / Camera / Zipper Pockets.... Capacity: 15.6 Inches Laptop / I pad / Clothes / water bottle/ Umbrella / Cosmetic. No of Compartment : 1","Durant International. Address : GIDC Lodhika, Rajkot-360021, Gujarat. Customer Care : 9809804990"
128,"2 Compartment with laptop sleeve (Up to 18 inch) with comprehensive pen-accessories organizer and one mesh zip pocket.
2 Exterior Pockets and 2 side mesh bottle holder. Adjustable shoulder strip
Adjustable Shoulder Strip
Foam Padded Straps
Size-(Hxlxw) Cm-(46x34x18) Cm",071VNWC1C,"The spacious bag as has space for everything you need while travelling and will keep you comfortable and organized. 2 Compartment Laptop Backpack Equipped With One Large Packing Compartment, Built-In Padded Tablet Holder Next To the Laptop Compartment. 2 Exterior pockets The F Gear backpack also comes with padded back and shoulder straps for comfort.",Uber Fashion Merchandise Pvt. Ltd.
